"userID","itemID","rating"
"A2187K9XITLWQG","B000086910",4
"A2OPFLMNQW1YS3","B000086910",4
"A3A96IXQBHMP10","B000086910",4
"A1S1J45UFGG8MT","B000086910",5
"A2IMZ3QN83XP08","B000086910",4
"A2EXY0DVZ04RHY","B000086910",5
"A2OPFLMNQW1YS3","B0000ZEPGA",2
"A2HH8ZA8ZOBGGT","B0000ZEPGA",5
"A1D3RZRRITKB75","B0000ZEPGA",2
"A2R1IICZ1Q9O79","B0000ZEPGA",5
"A31OCML7XNIWRY","B0000ZEPGA",1
"A1KT19TDP9VE63","B0006I49Y4",5
"A34XK44FD172EO","B0006I49Y4",5
"A2V5R832QCSOMX","B0006I49Y4",5
"A342YY7GHWRUYC","B0006I49Y4",5
"A1M00QYCX2FDMO","B0006I49Y4",5
"A3KO6JEVS1FJ8X","B0006I49Y4",5
"A2BY0R17DVAR62","B0007QCQGI",5
"A2YI4WRHX5F74S","B0007QCQGI",5
"AJHL7N62ROBOQ","B0007QCQGI",5
"A2R1IICZ1Q9O79","B0007QCQGI",5
"AP6SZE1VIDKZ3","B0007QCQGI",3
"A20UGDRZTW40UF","B0007XA0FU",5
"A33FJD2E01DQBO","B0007XA0FU",5
"A3LD208P9CSWYM","B0007XA0FU",5
"A2KA182AI5AI03","B0007XA0FU",5
"AI1SVID8YB767","B0007XA0FU",3
"A1QV8AE0OMJFRT","B0007XA0FU",5
"A2YJQPNNAAK5KC","B0007YR8WW",3
"A1G66MRTMIUS7M","B0007YR8WW",4
"A1ZKY8IR5TDNJY","B0007YR8WW",4
"A3Q1Q6SMOCOOLV","B0007YR8WW",3
"A2A4C0IRW8OMIK","B0007YR8WW",2
"A2R1IICZ1Q9O79","B0007YR8WW",5
"A2LAGOPH8L3LD3","B0007YR8WW",3
"AMDC4OLGMNHH6","B0007YR8WW",5
"AZNUD20EBXPH1","B0007YR8WW",5
"AD79V4Q7CG2T4","B0007YR8WW",1
"A19A8X201H0TNB","B0007YR8WW",5
"A6PWTFMJMPTCO","B0007YR8WW",5
"A1S21UVMN61AZF","B0007YR8WW",5
"A3KR8RNNPF2XY","B0007YR8WW",1
"A2LDWO0SEH5OZD","B0007YXTOS",5
"A2OPFLMNQW1YS3","B0007YXTOS",3
"A3A96IXQBHMP10","B0007YXTOS",5
"A3EXUTKZCHD4ZR","B0007YXTOS",3
"A2Y3EV4HORECFJ","B0007YXTOS",5
"A3Q1Q6SMOCOOLV","B0007YXTOS",2
"A2A4C0IRW8OMIK","B0007YXTOS",5
"A1ZJJWF69R31ZL","B0007YXTOS",5
"A3KO6JEVS1FJ8X","B0007YXTOS",2
"AL47TOHUO3U6I","B0007YXTOS",5
"A4NXKFZ9AP2JM","B0007YXTOS",5
"AD79V4Q7CG2T4","B0007YXTOS",2
"A19A8X201H0TNB","B0007YXTOS",5
"A2JNF35SPJUJZX","B0007YXTOS",3
"A369DQIY70GYL2","B0007YXTOS",5
"A2HD9JTLRSC9IL","B000922S8G",4
"A3TF3A407SAMJU","B000922S8G",5
"A2P99LRDXBF8NF","B000922S8G",3
"AKHG9Q9SWXW0M","B000922S8G",2
"ARYNO2UE44LPW","B000922S8G",2
"A2HH8ZA8ZOBGGT","B0009YGY0M",5
"A3Q1Q6SMOCOOLV","B0009YGY0M",1
"A2R1IICZ1Q9O79","B0009YGY0M",5
"A15FB1J267BMLE","B0009YGY0M",5
"A31OCML7XNIWRY","B0009YGY0M",4
"A1JXPVFFF5IBQL","B0009YGY0M",5
